Employee_Name,EmpID,PerfScoreID,FromDiversityJobFairID,Salary,Position,State,Zip,DOB,Age,Sex,MaritalDesc,CitizenDesc,DateofHire,DateofTermination,AttritionCount,EmploymentStatus,Department,ManagerName,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,DaysLateLast30,Absences
"Harrison, Kara",10007,4,0,62065,Production Technician I,MA,1886,02-05-1974,49,F,Married,US Citizen,12-05-2014,,0,Active,Production       ,Amy Dunn,CareerBuilder,Exceeds,4.76,4,0,0,5
"Heitzman, Anthony",10129,3,0,46998,Production Technician I,MA,2149,04-01-1984,39,M ,Single,US Citizen,13-08-2012,,0,Active,Production       ,Ketsia Liebig,Google Search,Fully Meets,4.17,4,0,0,1
"Hendrickson, Trina",10075,3,0,68099,Production Technician II,MA,2021,27-08-1972,51,F,Single,US Citizen,10-01-2011,18-06-2013,1,Voluntarily Terminated,Production       ,Kelley Spirea,CareerBuilder,Fully Meets,5,3,0,0,15
"Hitchcock, Alfred",10167,3,0,70545,Area Sales Manager,NH,3062,14-09-1988,35,M ,Married,US Citizen,18-08-2014,,0,Active,Sales,John Smith,Indeed,Fully Meets,3.6,5,0,0,9
"Homberger, Adrienne J",10195,3,0,63478,Production Technician II,MA,2445,16-02-1984,39,F,Married,Non-Citizen,15-08-2011,07-04-2012,1,Voluntarily Terminated,Production       ,Michael Albert,Indeed,Fully Meets,3.03,5,0,0,16
"Horton, Jayne",10112,3,0,97999,Database Administrator,MA,2493,21-02-1984,39,F,Single,US Citizen,30-03-2015,,0,Active,IT/IS,Simon Roup,Indeed,Fully Meets,4.48,5,6,0,4
"Houlihan, Debra",10272,3,0,180000,Director of Sales,RI,2908,17-03-1966,57,F,Married,US Citizen,05-05-2014,,0,Active,Sales,Janet King,LinkedIn,Fully Meets,4.5,4,0,0,19
"Howard, Estelle",10182,3,0,49920,Administrative Assistant,MA,2170,16-09-1985,38,F,Married,US Citizen,16-02-2015,15-04-2015,1,Terminated for Cause,Admin Offices,Brandon R. LeBlanc,Indeed,Fully Meets,3.24,3,4,0,6
"Hudson, Jane",10248,3,0,55425,Production Technician I,MA,2176,10-06-1986,37,F,Single,US Citizen,20-02-2012,,0,Active,Production       ,Ketsia Liebig,LinkedIn,Fully Meets,4.8,4,0,0,4
"Hunts, Julissa",10201,3,0,69340,Production Technician II,MA,2021,11-03-1984,39,F,Single,US Citizen,06-06-2016,,0,Active,Production       ,Elijiah Gray,LinkedIn,Fully Meets,3,5,0,0,4
"Hutter, Rosalie",10214,3,0,64995,Production Technician II,MA,2351,07-05-1992,31,F,Separated,US Citizen,05-06-2015,,0,Active,Production       ,Webster Butler,Indeed,Fully Meets,4.5,3,0,0,6
"Huynh, Ming",10160,3,0,68182,Production Technician II,MA,1742,22-09-1976,47,F,Divorced,US Citizen,21-02-2011,01-04-2013,1,Voluntarily Terminated,Production       ,Amy Dunn,Google Search,Fully Meets,3.72,3,0,0,18
"Immediato, Walter",10289,2,0,83082,Production Manager,MA,2128,15-11-1976,47,M ,Married,US Citizen,21-02-2011,24-09-2012,1,Voluntarily Terminated,Production       ,Janet King,Indeed,Needs Improvement,2.34,2,0,3,4
"Ivey, Rose",10139,3,0,51908,Production Technician I,MA,1775,28-01-1991,32,F,Single,US Citizen,19-08-2013,,0,Active,Production       ,Brannon Miller,Indeed,Fully Meets,3.99,3,0,0,14
"Jackson, Maryellen",10227,3,0,61242,Production Technician I,MA,2081,11-09-1972,51,F,Single,US Citizen,05-11-2012,,0,Active,Production       ,David Stanley,LinkedIn,Fully Meets,4.1,3,0,0,7
"Jacobi, Hannah",10236,3,0,45069,Production Technician I,MA,1778,22-03-1966,57,F,Divorced,US Citizen,30-09-2013,,0,Active,Production       ,Kissy Sullivan,Employee Referral,Fully Meets,4.3,5,0,0,7
"Jeannite, Tayana",10009,4,0,60724,Production Technician II,MA,1821,06-11-1986,37,F,Divorced,US Citizen,05-07-2011,,0,Active,Production       ,Ketsia Liebig,LinkedIn,Exceeds,4.6,4,0,0,11
"Jhaveri, Sneha",10060,3,0,60436,Production Technician I,MA,2109,13-04-1964,59,F,Separated,US Citizen,06-01-2014,,0,Active,Production       ,Kelley Spirea,LinkedIn,Fully Meets,5,5,0,0,9
"Johnson, George",10034,4,0,46837,Production Technician I,MA,2445,19-08-1959,64,M ,Married,US Citizen,07-11-2011,29-04-2018,1,Voluntarily Terminated,Production       ,Michael Albert,CareerBuilder,Exceeds,4.7,4,0,0,9
"Johnson, Noelle",10156,3,0,105700,Database Administrator,MA,2301,07-11-1986,37,F,Married,US Citizen,05-01-2015,,0,Active,IT/IS,Simon Roup,Indeed,Fully Meets,3.75,3,5,0,2
"Johnston, Yen",10036,4,0,63322,Production Technician II,MA,2128,08-09-1969,54,F,Single,US Citizen,07-07-2014,,0,Active,Production       ,Brannon Miller,LinkedIn,Exceeds,4.3,3,0,0,1
"Jung, Judy",10138,3,0,61154,Production Technician I,MA,2446,17-04-1986,37,F,Married,US Citizen,10-01-2011,01-04-2016,1,Voluntarily Terminated,Production       ,Elijiah Gray,CareerBuilder,Fully Meets,4,4,0,0,4
"Kampew, Donysha",10244,3,0,68999,Sales Manager,PA,19444,11-11-1989,34,F,Single,US Citizen,07-11-2011,24-04-2014,1,Voluntarily Terminated,Sales,Debra Houlihan,Google Search,Fully Meets,4.5,5,0,0,2
"Keatts, Kramer",10192,3,0,50482,Production Technician I,MA,1887,19-01-1976,47,M ,Single,US Citizen,30-09-2013,,0,Active,Production       ,Michael Albert,Indeed,Fully Meets,3.07,4,0,0,10
"Khemmich, Bartholemew",10231,3,0,65310,Area Sales Manager,CO,80820,27-11-1979,43,M ,Single,US Citizen,19-08-2013,,0,Active,Sales,Lynn Daneault,Indeed,Fully Meets,4.3,5,0,0,13
"King, Janet",10089,3,0,250000,President & CEO,MA,1902,21-09-1954,69,F,Married,US Citizen,02-07-2012,,0,Active,Executive Office,Board of Directors,Indeed,Fully Meets,4.83,3,0,0,10
"Kinsella, Kathleen",10166,3,0,54005,Production Technician I,MA,2170,08-12-1973,49,F,Married,US Citizen,26-09-2011,04-06-2015,1,Voluntarily Terminated,Production       ,Webster Butler,Google Search,Fully Meets,3.6,5,0,0,16
"Kirill, Alexandra",10170,3,0,45433,Production Technician I,MA,2127,08-10-1970,53,F,Married,US Citizen,26-09-2011,09-01-2014,1,Voluntarily Terminated,Production       ,Amy Dunn,Google Search,Fully Meets,3.49,4,0,0,6
"Knapp, Bradley J",10208,3,0,46654,Production Technician I,MA,1721,10-11-1977,46,M ,Single,US Citizen,17-02-2014,,0,Active,Production       ,Ketsia Liebig,LinkedIn,Fully Meets,3.1,3,0,0,3
"Kretschmer, John",10176,3,0,63973,Production Technician I,MA,1801,02-02-1980,43,M ,Married,US Citizen,10-01-2011,,0,Active,Production       ,Brannon Miller,Indeed,Fully Meets,3.38,3,0,0,17
"Kreuger, Freddy",10165,3,1,71339,Area Sales Manager,NY,10171,24-02-1969,54,M ,Single,US Citizen,07-03-2011,,0,Active,Sales,John Smith,Diversity Job Fair,Fully Meets,3.65,5,0,0,20
"Lajiri, Jyoti",10113,3,0,93206,Sr. Network Engineer,MA,2169,23-04-1986,37,M ,Married,US Citizen,10-11-2014,,0,Active,IT/IS,Peter Monroe,Employee Referral,Fully Meets,4.46,5,6,0,7
"Landa, Hans",10092,3,0,82758,Production Manager,MA,1890,01-07-1972,51,M ,Married,US Citizen,10-01-2011,12-12-2015,1,Terminated for Cause,Production       ,Janet King,Employee Referral,Fully Meets,4.78,4,0,0,9
"Langford, Lindsey",10106,3,0,66074,Production Technician II,MA,2090,25-07-1979,44,F,Divorced,US Citizen,07-01-2013,31-03-2014,1,Voluntarily Terminated,Production       ,David Stanley,Indeed,Fully Meets,4.52,3,0,0,20
"Langton, Enrico",10052,3,0,46120,Production Technician I,MA,2048,09-12-1986,36,M ,Married,US Citizen,09-07-2012,,0,Active,Production       ,David Stanley,LinkedIn,Fully Meets,5,5,0,0,13
"LaRotonda, William",10038,3,0,64520,Accountant I,MA,1460,26-04-1984,39,M ,Divorced,US Citizen,06-01-2014,,0,Active,Admin Offices,Brandon R. LeBlanc,Website,Fully Meets,5,4,4,0,3
"Latif, Mohammed",10249,3,0,61962,Production Technician II,MA,2126,09-05-1984,39,M ,Married,US Citizen,02-04-2012,15-04-2013,1,Voluntarily Terminated,Production       ,Kissy Sullivan,Google Search,Fully Meets,4.9,3,0,0,20
"Le, Binh",10232,3,0,81584,Senior BI Developer,MA,1886,14-06-1987,36,F,Single,US Citizen,02-10-2016,,0,Active,IT/IS,Brian Champaigne,Indeed,Fully Meets,4.1,5,7,0,2
"Leach, Dallas",10087,3,0,63676,Production Technician I,MA,1810,17-01-1979,44,F,Single,US Citizen,26-09-2011,19-08-2018,1,Voluntarily Terminated,Production       ,Kissy Sullivan,CareerBuilder,Fully Meets,4.88,3,0,0,17
"LeBlanc, Brandon R",10134,3,0,93046,Shared Services Manager,MA,1460,10-06-1984,39,M ,Married,US Citizen,05-01-2016,,0,Active,Admin Offices,Janet King,CareerBuilder,Fully Meets,4.1,4,0,0,20
"Lecter, Hannibal",10251,3,0,64738,Production Technician I,MA,1776,02-09-1982,41,M ,Married,US Citizen,14-05-2012,,0,Active,Production       ,Elijiah Gray,Google Search,Fully Meets,4.1,3,0,0,10
"Leruth, Giovanni",10103,3,0,70468,Area Sales Manager,UT,84111,27-12-1988,34,M ,Separated,US Citizen,30-04-2012,,0,Active,Sales,John Smith,Website,Fully Meets,4.53,3,0,0,16
"Liebig, Ketsia",10017,4,0,77915,Production Manager,MA,2110,26-10-1981,42,F,Married,US Citizen,30-09-2013,,0,Active,Production       ,Janet King,Website,Exceeds,4.1,3,0,0,11
"Linares, Marilyn",10186,3,0,52624,Production Technician I,MA,1886,26-03-1981,42,F,Married,US Citizen,05-07-2011,26-09-2018,1,Voluntarily Terminated,Production       ,Michael Albert,Indeed,Fully Meets,3.18,4,0,0,16
"Linden, Mathew",10137,3,0,63450,Production Technician II,MA,1770,19-03-1979,44,M ,Married,US Citizen,08-07-2013,,0,Active,Production       ,Kelley Spirea,LinkedIn,Fully Meets,4,3,0,0,7
"Lindsay, Leonara",10008,4,1,51777,IT Support,CT,6070,05-10-1988,35,F,Single,US Citizen,21-01-2011,,0,Active,IT/IS,Eric Dougall,Diversity Job Fair,Exceeds,4.64,4,5,0,14
"Lundy, Susan",10096,3,0,67237,Production Technician II,MA,2122,26-12-1976,46,F,Widowed,US Citizen,08-07-2013,15-09-2016,1,Voluntarily Terminated,Production       ,Michael Albert,LinkedIn,Fully Meets,4.65,4,0,0,15
"Lunquist, Lisa",10035,4,0,73330,Production Technician II,MA,2324,28-03-1982,41,F,Single,US Citizen,19-08-2013,,0,Active,Production       ,Elijiah Gray,Indeed,Exceeds,4.2,4,0,0,19
"Lydon, Allison",10057,3,0,52057,Production Technician I,MA,2122,22-10-1975,48,F,Married,US Citizen,16-02-2015,,0,Active,Production       ,Elijiah Gray,Website,Fully Meets,5,3,0,0,6
"Lynch, Lindsay",10004,4,1,47434,Production Technician I,MA,1844,14-02-1973,50,F,Single,US Citizen,07-11-2011,14-11-2015,1,Voluntarily Terminated,Production       ,Webster Butler,Diversity Job Fair,Exceeds,5,4,0,0,17
"MacLennan, Samuel",10191,3,0,52788,Production Technician I,MA,1938,09-11-1972,51,M ,Widowed,US Citizen,24-09-2012,26-09-2017,1,Voluntarily Terminated,Production       ,Amy Dunn,Indeed,Fully Meets,3.08,4,0,0,18
"Mahoney, Lauren",10219,3,0,45395,Production Technician I,MA,2189,07-07-1986,37,F,Single,US Citizen,06-01-2014,,0,Active,Production       ,Ketsia Liebig,LinkedIn,Fully Meets,4.6,4,0,0,14
"Manchester, Robyn",10077,3,0,62385,Production Technician II,MA,2324,25-08-1976,47,F,Married,US Citizen,11-05-2016,,0,Active,Production       ,Webster Butler,LinkedIn,Fully Meets,5,3,0,0,4
"Mancuso, Karen",10073,3,0,68407,Production Technician II,MA,2176,10-12-1986,36,F,Married,US Citizen,05-07-2011,19-08-2012,1,Voluntarily Terminated,Production       ,Amy Dunn,LinkedIn,Fully Meets,5,4,0,0,16
"Mangal, Debbie",10279,3,0,61349,Production Technician I,MA,2451,07-11-1974,49,F,Married,US Citizen,11-11-2013,,0,Active,Production       ,Brannon Miller,LinkedIn,Fully Meets,4.1,3,0,0,11
"Martin, Sandra",10110,3,0,105688,Software Engineer,MA,2135,07-11-1987,36,F,Single,US Citizen,11-11-2013,,0,Active,Software Engineering,Alex Sweetwater,Google Search,Fully Meets,4.5,5,4,0,14
"Maurice, Shana",10053,3,0,54132,Production Technician I,MA,2330,22-11-1977,45,F,Married,US Citizen,31-05-2011,,0,Active,Production       ,David Stanley,Indeed,Fully Meets,5,4,0,0,8
"Carthy, B'rigit",10076,3,0,55315,Production Technician II,MA,2149,21-05-1987,36,F,Single,US Citizen,30-03-2015,,0,Active,Production       ,Ketsia Liebig,LinkedIn,Fully Meets,5,5,0,0,16
"Mckenna, Sandy",10145,3,0,62810,Production Technician I,MA,2184,07-01-1987,36,F,Married,US Citizen,07-01-2013,,0,Active,Production       ,Kissy Sullivan,CareerBuilder,Fully Meets,3.93,3,0,0,20
"McKinzie, Jac",10202,3,0,63291,Area Sales Manager,TX,78789,01-07-1984,39,M ,Married,US Citizen,06-07-2016,,0,Active,Sales,Lynn Daneault,Website,Fully Meets,3.4,4,0,0,7
"Meads, Elizabeth",10128,3,1,62659,Production Technician I,MA,1760,30-05-1968,55,F,Single,US Citizen,02-04-2012,11-11-2016,1,Voluntarily Terminated,Production       ,Kelley Spirea,Diversity Job Fair,Fully Meets,4.18,4,0,0,17
"Medeiros, Jennifer",10068,3,0,55688,Production Technician I,MA,2346,22-09-1976,47,F,Single,US Citizen,30-03-2015,,0,Active,Production       ,Michael Albert,CareerBuilder,Fully Meets,5,4,0,0,10
"Miller, Brannon",10116,3,0,83667,Production Manager,MA,2045,10-08-1981,42,M ,Single,US Citizen,16-08-2012,,0,Active,Production       ,Janet King,Indeed,Fully Meets,4.37,3,0,0,2
"Miller, Ned",10298,1,0,55800,Production Technician II,MA,2472,29-06-1985,38,M ,Single,US Citizen,15-08-2011,04-09-2014,1,Voluntarily Terminated,Production       ,Brannon Miller,LinkedIn,PIP,3,2,0,6,6
"Monkfish, Erasumus",10213,3,0,58207,Production Technician II,MA,1450,17-08-1992,31,M ,Married,US Citizen,07-11-2011,,0,Active,Production       ,David Stanley,LinkedIn,Fully Meets,3.7,3,0,0,14
"Monroe, Peter",10288,2,1,157000,IT Manager - Infra,MA,2134,05-10-1986,37,M ,Married,Eligible NonCitizen,15-02-2012,,0,Active,IT/IS,Jennifer Zamora,Diversity Job Fair,Needs Improvement,2.39,3,6,4,13
"Monterro, Luisa",10025,4,0,72460,Production Technician II,MA,2126,24-04-1970,53,F,Single,US Citizen,13-05-2013,,0,Active,Production       ,Kissy Sullivan,Indeed,Exceeds,4.7,3,0,0,1
"Moran, Patrick",10223,3,1,72106,Production Technician II,MA,2127,03-12-1976,46,M ,Single,US Citizen,09-01-2012,,0,Active,Production       ,Kelley Spirea,Diversity Job Fair,Fully Meets,4.1,4,0,0,12
"Morway, Tanya",10151,3,0,52599,Network Engineer,MA,2048,04-04-1979,44,F,Married,US Citizen,16-02-2015,,0,Active,IT/IS,Peter Monroe,CareerBuilder,Fully Meets,3.81,3,6,0,6
"Motlagh, Dawn",10254,3,0,63430,Production Technician I,MA,2453,07-07-1984,39,F,Divorced,US Citizen,01-04-2013,,0,Active,Production       ,Elijiah Gray,LinkedIn,Fully Meets,4.4,4,0,0,18
"Moumanil, Maliki",10120,3,0,74417,Production Technician II,MA,1460,01-12-1974,48,M ,Separated,US Citizen,13-05-2013,,0,Active,Production       ,Michael Albert,LinkedIn,Fully Meets,4.29,5,0,0,11
"Myers, Michael",10216,3,0,57575,Production Technician I,MA,1550,18-04-1980,43,M ,Single,US Citizen,08-07-2013,,0,Active,Production       ,Kissy Sullivan,LinkedIn,Fully Meets,4.1,4,0,0,13
"Navathe, Kurt",10079,3,0,87921,Senior BI Developer,MA,2056,25-04-1970,53,M ,Single,US Citizen,10-02-2017,,0,Active,IT/IS,Brian Champaigne,Indeed,Fully Meets,5,3,6,0,17
"Ndzi, Colombui",10215,3,1,50470,Production Technician I,MA,2110,02-05-1989,34,M ,Single,US Citizen,26-09-2011,04-04-2014,1,Voluntarily Terminated,Production       ,Webster Butler,Diversity Job Fair,Fully Meets,4.3,3,0,0,19
"Ndzi, Horia",10185,3,0,46664,Production Technician I,MA,2421,28-03-1983,40,M ,Married,US Citizen,01-04-2013,25-05-2016,1,Voluntarily Terminated,Production       ,Amy Dunn,Employee Referral,Fully Meets,3.18,3,0,0,10
"Newman, Richard",10063,3,0,48495,Production Technician I,MA,2136,08-04-1977,46,M ,Married,US Citizen,12-05-2014,,0,Active,Production       ,Ketsia Liebig,LinkedIn,Fully Meets,5,5,0,0,11
"Ngodup, Shari",10037,4,1,52984,Production Technician I,MA,1810,03-06-1967,56,F,Separated,US Citizen,01-04-2013,,0,Active,Production       ,Brannon Miller,Diversity Job Fair,Exceeds,4,3,0,0,12
"Nguyen, Dheepa",10042,3,0,63695,Area Sales Manager,GA,30428,31-03-1989,34,F,Single,US Citizen,08-07-2013,,0,Active,Sales,Lynn Daneault,Indeed,Fully Meets,5,5,0,0,2
"Nguyen, Lei-Ming",10206,3,0,62061,Production Technician I,MA,2132,07-07-1984,39,F,Single,US Citizen,08-07-2013,,0,Active,Production       ,David Stanley,LinkedIn,Fully Meets,3.6,5,0,0,4
"Nowlan, Kristie",10104,3,0,66738,Production Technician II,MA,1040,23-11-1985,37,F,Single,US Citizen,10-11-2014,,0,Active,Production       ,Elijiah Gray,Indeed,Fully Meets,4.53,5,0,0,5
"O'hare, Lynn",10303,1,0,52674,Production Technician I,MA,2152,30-09-1980,43,F,Single,US Citizen,31-03-2014,01-05-2018,1,Terminated for Cause,Production       ,Kissy Sullivan,LinkedIn,PIP,2.33,2,0,6,3
"Oliver, Brooke",10078,3,0,71966,Production Technician II,MA,2492,11-02-1952,71,F,Married,US Citizen,14-05-2012,19-08-2013,1,Voluntarily Terminated,Production       ,Webster Butler,LinkedIn,Fully Meets,5,3,0,0,17
"Onque, Jasmine",10121,3,0,63051,Area Sales Manager,FL,33174,11-05-1990,33,F,Single,US Citizen,30-09-2013,,0,Active,Sales,Lynn Daneault,Indeed,Fully Meets,4.28,3,0,0,1
"Osturnka, Adeel",10021,4,0,47414,Production Technician I,MA,2478,11-12-1976,46,M ,Married,US Citizen,30-09-2013,,0,Active,Production       ,Kelley Spirea,LinkedIn,Exceeds,5,3,0,0,13
"Owad, Clinton",10281,2,0,53060,Production Technician I,MA,1760,24-11-1979,43,M ,Single,US Citizen,17-02-2014,,0,Active,Production       ,Michael Albert,LinkedIn,Needs Improvement,4.25,3,0,4,6
"Ozark, Travis",10041,3,0,68829,Area Sales Manager,NC,27229,19-05-1982,41,M ,Single,US Citizen,05-01-2015,,0,Active,Sales,John Smith,Website,Fully Meets,5,5,0,0,18
"Panjwani, Nina",10148,3,0,63515,Production Technician I,MA,2351,01-05-1979,44,F,Married,US Citizen,07-02-2011,12-01-2014,1,Voluntarily Terminated,Production       ,Elijiah Gray,Google Search,Fully Meets,3.89,4,0,0,7
"Patronick, Lucas",10005,4,1,108987,Software Engineer,MA,1844,20-02-1979,44,M ,Single,US Citizen,07-11-2011,07-09-2015,1,Voluntarily Terminated,Software Engineering,Alex Sweetwater,Diversity Job Fair,Exceeds,5,5,3,0,13
"Pearson, Randall",10259,3,0,93093,Data Analyst,MA,2747,05-09-1984,39,M ,Married,US Citizen,01-12-2014,01-05-2016,1,Voluntarily Terminated,IT/IS,Simon Roup,Employee Referral,Fully Meets,4.7,4,5,0,19
"Smith, Martin",10286,2,0,53564,Production Technician I,MA,2458,17-03-1988,35,M ,Single,US Citizen,10-01-2011,28-12-2017,1,Voluntarily Terminated,Production       ,Webster Butler,Google Search,Needs Improvement,3.54,5,0,4,15
"Pelletier, Ermine",10297,2,0,60270,Production Technician II,MA,2472,18-07-1989,34,F,Married,US Citizen,05-07-2011,15-09-2015,1,Voluntarily Terminated,Production       ,Amy Dunn,CareerBuilder,Needs Improvement,2.4,5,0,5,2
"Perry, Shakira",10171,3,0,45998,Production Technician I,MA,2176,20-07-1986,37,F,Single,US Citizen,16-05-2011,25-10-2015,1,Voluntarily Terminated,Production       ,Amy Dunn,LinkedIn,Fully Meets,3.45,4,0,0,5
"Peters, Lauren",10032,4,0,57954,Production Technician II,MA,1886,17-08-1986,37,F,Married,US Citizen,16-05-2011,04-02-2013,1,Voluntarily Terminated,Production       ,Ketsia Liebig,Indeed,Exceeds,4.2,5,0,0,12
"Peterson, Ebonee",10130,3,0,74669,Production Manager,MA,2030,09-05-1977,46,F,Married,US Citizen,25-10-2010,18-05-2016,1,Voluntarily Terminated,Production       ,Janet King,Indeed,Fully Meets,4.16,5,0,0,6
"Petingill, Shana",10217,3,0,74226,Production Technician II,MA,2050,10-03-1979,44,F,Married,Eligible NonCitizen,02-04-2012,,0,Active,Production       ,Brannon Miller,LinkedIn,Fully Meets,4.3,3,0,0,14
"Petrowsky, Thelma",10016,4,0,93554,Data Analyst,MA,1886,16-09-1984,39,F,Married,US Citizen,10-11-2014,,0,Active,IT/IS,Simon Roup,Employee Referral,Exceeds,4.6,5,7,0,16
"Pham, Hong",10050,3,0,64724,Production Technician I,MA,2451,06-03-1988,35,M ,Married,US Citizen,05-07-2011,30-11-2012,1,Voluntarily Terminated,Production       ,Brannon Miller,Google Search,Fully Meets,5,3,0,0,13
"Pitt, Brad",10164,3,0,47001,Production Technician I,MA,2451,23-11-1981,41,M ,Single,US Citizen,05-11-2007,,0,Active,Production       ,David Stanley,Google Search,Fully Meets,3.66,3,0,0,15
"Potts, Xana",10124,3,0,61844,Area Sales Manager,KY,40220,29-08-1988,35,F,Married,US Citizen,09-01-2012,,0,Active,Sales,Lynn Daneault,Website,Fully Meets,4.2,5,0,0,9
"Power, Morissa",10187,3,0,46799,Production Technician I,MA,1742,15-10-1984,39,F,Divorced,Eligible NonCitizen,16-05-2011,04-06-2018,1,Voluntarily Terminated,Production       ,Kissy Sullivan,Google Search,Fully Meets,3.17,4,0,0,14
"Punjabhi, Louis",10225,3,0,59472,Production Technician I,MA,2109,19-06-1961,62,M ,Single,US Citizen,06-01-2014,,0,Active,Production       ,Kelley Spirea,Employee Referral,Fully Meets,4.8,3,0,0,14
"Purinton, Janine",10262,3,0,46430,Production Technician I,MA,2474,22-09-1970,53,F,Divorced,US Citizen,24-09-2012,18-06-2013,1,Voluntarily Terminated,Production       ,Kissy Sullivan,Indeed,Fully Meets,4.5,5,0,0,16
"Quinn, Sean",10131,3,1,83363,Software Engineer,MA,2045,06-11-1984,39,M ,Married,Eligible NonCitizen,21-02-2011,15-08-2015,1,Voluntarily Terminated,Software Engineering,Janet King,Diversity Job Fair,Fully Meets,4.15,4,0,0,4
"Rachael, Maggie",10239,3,0,95920,BI Developer,MA,2110,12-05-1980,43,F,Married,US Citizen,02-10-2016,,0,Active,IT/IS,Brian Champaigne,Indeed,Fully Meets,4.4,4,6,0,10
"Rarrick, Quinn",10152,3,0,61729,Production Technician I,MA,2478,31-12-1984,38,M ,Divorced,US Citizen,26-09-2011,07-04-2018,1,Voluntarily Terminated,Production       ,Michael Albert,Indeed,Fully Meets,3.8,5,0,0,19
"Ren, Kylo",10140,3,0,61809,Area Sales Manager,ID,83706,12-10-1954,69,M ,Married,US Citizen,12-05-2014,,0,Active,Sales,John Smith,CareerBuilder,Fully Meets,3.98,3,0,0,4
"Rhoads, Thomas",10058,3,0,45115,Production Technician I,MA,2176,22-07-1982,41,M ,Divorced,US Citizen,16-05-2011,15-01-2016,1,Voluntarily Terminated,Production       ,Elijiah Gray,LinkedIn,Fully Meets,5,4,0,0,11
"Rivera, Haley",10011,4,0,46738,Production Technician I,MA,2171,12-01-1973,50,F,Married,US Citizen,28-11-2011,,0,Active,Production       ,Webster Butler,Google Search,Exceeds,4.36,5,0,0,16
"Roberson, May",10230,3,0,64971,Production Technician II,MA,1902,05-09-1981,42,F,Divorced,Eligible NonCitizen,26-09-2011,22-10-2011,1,Voluntarily Terminated,Production       ,David Stanley,Google Search,Fully Meets,4.5,4,0,0,10
"Robertson, Peter",10224,3,0,55578,Production Technician II,MA,2138,03-07-1972,51,M ,Married,US Citizen,05-07-2011,08-02-2012,1,Voluntarily Terminated,Production       ,Kissy Sullivan,Indeed,Fully Meets,4.2,5,0,0,13
"Robinson, Alain",10047,3,0,50428,Production Technician I,MA,1420,07-01-1974,49,M ,Married,US Citizen,10-01-2011,26-01-2016,1,Voluntarily Terminated,Production       ,Amy Dunn,Indeed,Fully Meets,5,3,0,0,11
"Robinson, Cherly",10285,2,0,61422,Production Technician I,MA,1460,07-01-1985,38,F,Married,US Citizen,10-01-2011,17-05-2016,1,Terminated for Cause,Production       ,Ketsia Liebig,Indeed,Needs Improvement,3.6,3,0,4,16
"Robinson, Elias",10020,4,0,63353,Production Technician I,MA,1730,28-01-1985,38,M ,Widowed,US Citizen,08-07-2013,,0,Active,Production       ,Brannon Miller,Employee Referral,Exceeds,3.6,5,0,0,4
"Roby, Lori",10162,3,0,89883,Data Analyst,MA,1886,11-10-1981,42,F,Married,US Citizen,16-02-2015,,0,Active,IT/IS,Simon Roup,Employee Referral,Fully Meets,3.69,5,6,0,15
"Roehrich, Bianca",10149,3,0,120000,Principal Data Architect,MA,2703,27-05-1973,50,F,Single,US Citizen,05-01-2015,10-11-2018,1,Voluntarily Terminated,IT/IS,Simon Roup,LinkedIn,Fully Meets,3.88,3,7,0,12
"Roper, Katie",10086,3,0,150290,Data Architect,MA,2056,21-11-1972,50,F,Single,US Citizen,07-01-2017,,0,Active,IT/IS,Brian Champaigne,Indeed,Fully Meets,4.94,3,5,0,17
"Rose, Ashley",10054,3,0,60627,Production Technician I,MA,1886,05-12-1974,48,F,Separated,US Citizen,06-01-2014,,0,Active,Production       ,David Stanley,Website,Fully Meets,5,4,0,0,8
"Rossetti, Bruno",10065,3,0,53180,Production Technician I,MA,2155,18-03-1987,36,M ,Single,US Citizen,04-04-2011,13-08-2018,1,Voluntarily Terminated,Production       ,Kissy Sullivan,Google Search,Fully Meets,5,5,0,0,4
"Roup,Simon",10198,3,0,140920,IT Manager - DB,MA,2481,05-04-1973,50,M ,Single,US Citizen,20-01-2013,,0,Active,IT/IS,Jennifer Zamora,Indeed,Fully Meets,3.6,5,7,0,13
"Ruiz, Ricardo",10222,3,1,148999,IT Manager - DB,MA,1915,04-01-1964,59,M ,Divorced,US Citizen,09-01-2012,04-11-2015,1,Voluntarily Terminated,IT/IS,Jennifer Zamora,Diversity Job Fair,Fully Meets,4.3,4,6,0,8
"Saada, Adell",10126,3,0,86214,Software Engineer,MA,2132,24-07-1986,37,F,Married,US Citizen,05-11-2012,,0,Active,Software Engineering,Alex Sweetwater,Indeed,Fully Meets,4.2,3,6,0,2
"Saar-Beckles, Melinda",10295,2,1,47750,Production Technician I,MA,1801,06-06-1968,55,F,Single,US Citizen,04-07-2016,,0,Active,Production       ,Kelley Spirea,Diversity Job Fair,Needs Improvement,2.6,4,0,5,4
"Sadki, Nore",10260,3,0,46428,Production Technician I,MA,2148,21-12-1974,48,M ,Single,US Citizen,05-01-2009,30-07-2018,1,Voluntarily Terminated,Production       ,Michael Albert,Google Search,Fully Meets,4.6,5,0,0,7
"Sahoo, Adil",10233,3,0,57975,Production Technician II,MA,2062,26-04-1986,37,M ,Married,US Citizen,30-08-2010,,0,Active,Production       ,Kelley Spirea,CareerBuilder,Fully Meets,4.1,3,0,0,13
